,Bacteroides,Faecalibacterium,Prevotella,Roseburia,Ruminococcus,Bifidobacterium,Akkermansia,Lactobacillus,Clostridium,Escherichia,Enterococcus,Streptococcus,Dorea,Eubacterium,Coprococcus,Dialister,Parabacteroides,Alistipes,Veillonella,Anaerostipes,Phascolarctobacterium,Sutterella,Butyricicoccus,Oscillibacter,Bilophila,Hyphomicrobium,Megasphaera,Pseudobutyrivibrio,Mitsuokella,Holdemanella,Blautia,Gemmiger,Sarcina,Odoribacter,Christensenella,Anaerovorax,Butyricimonas,Lachnospira,Coprobacillus,Pectinatus
Sample_001,92,195,112,683,344,66,235,125,12,113,102,7,291,102,377,79,90,204,260,86,123,21,67,54,69,193,549,44,338,248,114,11,265,284,150,8,11,28,74,44
Sample_002,193,602,234,1413,853,211,595,324,100,240,298,9,715,271,1001,237,227,518,812,216,254,105,189,154,250,442,1249,119,860,814,205,36,655,714,445,21,34,114,198,113
Sample_003,217,583,395,1592,855,285,627,370,54,322,265,13,746,281,1094,167,254,502,837,183,332,65,208,132,256,633,1333,206,835,778,351,58,584,855,445,55,34,98,151,124
Sample_004,454,1045,494,2534,1696,419,1088,782,128,450,555,7,1201,517,2028,560,506,1010,1795,385,509,101,376,201,405,922,2460,237,1580,1385,436,66,1050,1443,783,112,54,155,452,164
Sample_005,114,262,135,826,498,140,271,184,36,110,156,1,405,129,566,133,66,254,320,90,156,72,74,55,124,243,665,62,468,281,103,29,314,440,141,32,10,52,77,61
Sample_006,501,1243,679,3113,1759,501,1197,657,169,569,705,31,1571,706,2426,403,508,1082,1673,637,623,208,494,272,606,949,2777,266,1595,1508,453,31,1189,1845,887,103,47,324,322,254
Sample_007,160,377,165,1029,576,145,439,256,42,148,188,5,455,205,635,151,210,376,535,216,162,76,98,70,172,371,945,90,558,463,142,21,443,564,276,39,24,61,131,45
Sample_008,224,519,194,1496,796,206,508,289,107,273,279,22,614,278,1007,180,246,529,771,231,199,81,214,107,206,462,1129,145,720,537,251,24,663,632,370,72,24,65,149,91
Sample_009,272,665,336,1845,1168,299,790,442,95,292,398,31,798,317,1385,266,344,731,954,317,380,89,236,162,369,613,1678,134,1051,921,310,57,825,1032,525,67,25,100,211,98
Sample_010,263,501,198,1503,823,200,569,304,55,247,287,7,703,285,1132,204,278,578,706,259,358,66,206,101,253,463,1293,101,818,664,201,26,580,778,360,40,22,65,190,117
Sample_011,354,580,317,1631,1054,233,625,442,58,308,380,8,812,298,1231,310,270,657,1015,249,342,53,234,119,304,596,1598,94,810,719,213,46,680,816,493,61,34,136,189,86
Sample_012,312,540,265,1751,1053,260,724,355,75,254,337,9,731,376,1282,235,292,803,822,285,395,87,267,177,265,452,1541,120,908,799,293,30,652,941,498,59,51,105,212,92
Sample_013,95,218,85,655,384,93,240,167,21,116,128,7,232,125,449,75,125,254,338,87,147,42,82,36,85,217,507,66,391,221,121,8,165,316,159,36,7,41,90,43
Sample_014,298,638,235,1674,1147,308,666,363,92,279,319,11,915,318,1165,279,295,734,951,295,363,87,187,140,266,560,1648,178,973,771,354,34,709,892,525,70,77,152,229,85
Sample_015,140,242,143,749,383,123,302,159,45,107,125,4,368,154,570,114,115,282,454,115,127,33,81,44,153,259,628,58,397,325,141,21,335,411,218,30,9,53,94,64
Sample_016,91,159,60,469,252,64,174,110,16,71,98,5,233,93,357,76,100,176,245,109,73,35,84,24,82,145,414,31,230,192,92,7,183,240,120,15,10,27,64,28
Sample_017,335,1080,545,2671,1759,333,1205,681,103,495,650,35,1434,497,1923,369,320,1036,1500,494,702,108,373,344,433,787,2622,255,1575,1440,443,93,921,1653,772,94,17,87,290,238
Sample_018,525,1365,509,3219,2199,599,1763,927,132,825,994,25,1916,907,2055,529,782,1251,2120,555,628,213,464,252,823,1139,3457,258,1876,1473,607,72,1538,1959,819,103,16,195,394,220
Sample_019,515,1463,475,3698,2029,405,1252,591,156,686,800,23,1663,488,2537,592,627,1039,1519,694,558,164,438,357,626,946,3206,228,1887,1650,708,147,1389,2009,803,166,90,194,401,328
Sample_020,167,388,130,1138,720,147,360,214,50,185,249,7,516,219,855,149,207,413,596,174,201,60,130,104,231,403,996,118,556,512,188,13,434,547,299,49,34,61,149,72
Sample_021,254,647,246,1584,949,274,598,386,91,302,315,20,959,273,1122,229,349,602,808,290,219,104,245,116,215,465,1494,74,883,642,217,56,616,903,486,75,43,89,194,95
