,Bacteroides,Faecalibacterium,Prevotella,Roseburia,Ruminococcus,Bifidobacterium,Akkermansia,Lactobacillus,Clostridium,Escherichia,Enterococcus,Streptococcus,Dorea,Eubacterium,Coprococcus,Dialister,Parabacteroides,Alistipes,Veillonella,Anaerostipes,Phascolarctobacterium,Sutterella,Butyricicoccus,Oscillibacter,Bilophila,Hyphomicrobium,Megasphaera,Pseudobutyrivibrio,Mitsuokella,Holdemanella,Blautia,Gemmiger,Sarcina,Odoribacter,Christensenella,Anaerovorax,Butyricimonas,Lachnospira,Coprobacillus,Pectinatus
Sample_001,0.01467304625199362,0.03110047846889952,0.017862838915470493,0.10893141945773525,0.054864433811802234,0.010526315789473684,0.037480063795853266,0.019936204146730464,0.0019138755980861245,0.01802232854864434,0.016267942583732056,0.0011164274322169058,0.046411483253588515,0.016267942583732056,0.06012759170653908,0.012599681020733652,0.014354066985645933,0.03253588516746411,0.04146730462519936,0.013716108452950558,0.019617224880382776,0.0033492822966507177,0.010685805422647528,0.00861244019138756,0.011004784688995215,0.030781499202551833,0.08755980861244018,0.007017543859649123,0.05390749601275917,0.039553429027113236,0.01818181818181818,0.0017543859649122807,0.04226475279106858,0.04529505582137161,0.023923444976076555,0.0012759170653907496,0.0017543859649122807,0.004465709728867623,0.011802232854864434,0.007017543859649123
Sample_002,0.012032418952618454,0.03753117206982544,0.014588528678304239,0.08809226932668329,0.05317955112219452,0.013154613466334165,0.03709476309226933,0.020199501246882794,0.006234413965087282,0.014962593516209476,0.0185785536159601,0.0005610972568578554,0.044576059850374064,0.016895261845386533,0.062406483790523694,0.014775561097256858,0.014152119700748129,0.03229426433915212,0.05062344139650873,0.013466334164588529,0.015835411471321694,0.006546134663341646,0.011783042394014962,0.009600997506234414,0.015586034912718205,0.027556109725685785,0.07786783042394015,0.007418952618453866,0.05361596009975062,0.05074812967581047,0.012780548628428928,0.0022443890274314216,0.0408354114713217,0.04451371571072319,0.027743142144638404,0.0013092269326683292,0.002119700748129676,0.007107231920199501,0.012344139650872818,0.007044887780548628
Sample_003,0.012634643377001455,0.033944687045123725,0.02299854439592431,0.09269286754002912,0.04978165938864629,0.016593886462882096,0.03650655021834061,0.021542940320232896,0.0031441048034934497,0.018748180494905387,0.015429403202328967,0.0007569141193595342,0.04343522561863173,0.01636098981077147,0.06369723435225619,0.009723435225618632,0.014788937409024745,0.02922852983988355,0.04873362445414847,0.010655021834061135,0.01933042212518195,0.003784570596797671,0.012110625909752547,0.0076855895196506555,0.014905385735080058,0.03685589519650655,0.07761280931586609,0.011994177583697235,0.04861717612809316,0.04529839883551674,0.020436681222707424,0.003377001455604076,0.03400291120815138,0.04978165938864629,0.02590975254730713,0.003202328966521106,0.0019796215429403203,0.005705967976710335,0.008791848617176128,0.007219796215429403
Sample_004,0.014863316418399084,0.0342118186282534,0.016172859715174334,0.08295956785071207,0.05552463578327058,0.013717466033720739,0.03561957767228679,0.02560157145195613,0.004190538549680799,0.014732362088721558,0.01816991324275659,0.0002291700769356687,0.03931903748567687,0.0169258471108201,0.06639384514650516,0.018333606154853493,0.01656572270420691,0.03306596824357505,0.05876575544278933,0.012604354231461778,0.016663938451465053,0.003306596824357505,0.012309706989687346,0.006580455066295629,0.013259125879849402,0.030184972990669506,0.08053691275167785,0.007759044033393354,0.05172696022262236,0.04534293665084302,0.014274021934850221,0.002160746439679162,0.034375511540350304,0.04724177443116713,0.02563431003437551,0.003666721230970699,0.001767883450646587,0.0050744802750040926,0.01479783925356032,0.005369127516778523
Sample_005,0.013979153893316984,0.032127529123237276,0.01655426118945432,0.10128755364806867,0.06106683016554261,0.017167381974248927,0.03323114653586757,0.022562844880441447,0.004414469650521152,0.0134886572654813,0.01912936848559166,0.0001226241569589209,0.04966278356836297,0.0158185162477008,0.06940527283874923,0.01630901287553648,0.00809319435928878,0.03114653586756591,0.03923973022685469,0.011036174126302882,0.01912936848559166,0.008828939301042305,0.009074187614960148,0.00674432863274065,0.015205395462906193,0.02979767014101778,0.0815450643776824,0.007602697731453096,0.05738810545677499,0.034457388105456774,0.012630288166768854,0.0035561005518087063,0.03850398528510116,0.0539546290619252,0.017290006131207847,0.003923973022685469,0.001226241569589209,0.006376456161863887,0.00944206008583691,0.007480073574494176
Sample_006,0.014362296820800964,0.035633403090330536,0.01946506894475819,0.08924117765100478,0.050425708797981826,0.014362296820800964,0.034314709170656196,0.01883438924404438,0.004844766791847032,0.016311670441189117,0.020210417681965426,0.0008886850328240117,0.045036264082791044,0.020239084941088784,0.06954677063325976,0.011552905426712152,0.014562967634664449,0.031017974371470344,0.04796032451337327,0.01826104406157727,0.0178597024338503,0.005962789897657885,0.014161626006937477,0.007797494481552618,0.01737235902875326,0.0272052289080641,0.07960897858555743,0.007625490926812487,0.04572427830175157,0.043230226758019664,0.012986268382879912,0.0008886850328240117,0.034085371097669355,0.05289109308259037,0.025427858842416075,0.0029527276897055874,0.0013473611787976952,0.00928819195596709,0.00923085743772038,0.0072814838173322245
Sample_007,0.014461315979754157,0.034074475777295735,0.014913232104121476,0.09300433839479393,0.052060737527114966,0.013105567606652206,0.03967823571945047,0.023138105567606652,0.003796095444685466,0.013376717281272595,0.016992046276211134,0.0004519161243673174,0.041124367317425886,0.018528561099060016,0.057393347794649316,0.013647866955892986,0.01898047722342733,0.03398409255242227,0.048355025307302964,0.019522776572668113,0.014642082429501085,0.006869125090383225,0.008857556037599421,0.006326825741142444,0.01554591467823572,0.033532176428054956,0.08541214750542299,0.008134490238611713,0.050433839479392624,0.04184743311641359,0.012834417932031815,0.001898047722342733,0.04003976861894432,0.0509761388286334,0.024945770065075923,0.0035249457700650758,0.0021691973969631237,0.005513376717281273,0.011840202458423717,0.004067245119305857
Sample_008,0.015023474178403756,0.03480885311871228,0.01301140174379611,0.10033534540576794,0.053386988598256205,0.013816230717639169,0.0340710932260228,0.01938296445338699,0.007176391683433937,0.018309859154929577,0.018712273641851105,0.0014755197853789403,0.04118041582830315,0.018645204560697518,0.06753856472166331,0.012072434607645875,0.016498993963782696,0.03547954393024816,0.0517102615694165,0.015492957746478873,0.013346747149564051,0.005432595573440644,0.014352783366867874,0.007176391683433937,0.013816230717639169,0.030985915492957747,0.07572099262240108,0.009725016767270288,0.0482897384305835,0.03601609657947686,0.016834339369550637,0.0016096579476861167,0.044466800804828975,0.04238765928906774,0.02481556002682763,0.00482897384305835,0.0016096579476861167,0.004359490274983233,0.00999329309188464,0.006103286384976526
Sample_009,0.013185960829939888,0.03223773511731627,0.016288539848749273,0.08944153577661432,0.056622067093271285,0.014494861353500097,0.03829745976342835,0.021427186348652316,0.004605390731045181,0.014155516773317821,0.019294163273220866,0.0015028117122357961,0.03868528214077952,0.015367461702540237,0.06714174907892186,0.012895094046926507,0.016676362226100448,0.03543726973046345,0.0462478184991274,0.015367461702540237,0.018421562924180724,0.004314523948031801,0.011440760131859608,0.007853403141361256,0.01788830715532286,0.029716889664533643,0.08134574364940857,0.00649602482063215,0.050950164824510376,0.04464805119255381,0.01502811712235796,0.002763234438627109,0.03999418266433973,0.05002908667830134,0.02545084351367074,0.003248012410316075,0.0012119449292224162,0.004847779716889665,0.010228815202637192,0.004750824122551871
Sample_010,0.016641356618577574,0.03170083523158694,0.012528473804100227,0.09510250569476082,0.05207542394330549,0.012655024044545684,0.03600354340673247,0.01923563654770944,0.003480131612250063,0.015628954695013922,0.018159959503923056,0.000442925841559099,0.04448240951657808,0.0180334092634776,0.07162743609212857,0.012908124525436599,0.0175904834219185,0.03657301948873703,0.04467223487724627,0.01638825613768666,0.022652493039736776,0.004176157934700076,0.013034674765882055,0.006390787142495571,0.01600860541635029,0.02929638066312326,0.08181473044798786,0.006390787142495571,0.05175904834219185,0.04201467982789167,0.012718299164768413,0.001645153125790939,0.03669956972918249,0.049228043533282716,0.022779043280182234,0.002531004808909137,0.0013920526449000253,0.0041128828144773475,0.0120222728423184,0.007403189066059226
